time-step,uId,u.bid,u.price,u.latency,u.cpu,u.storage,u.ram,winner(1) or loser(0)
1,v0,801,0,0,16008,16274,65546,1
1,v1,780,0,0,16009,16331,65631,0
1,v2,405,0,0,8149,16435,16390,1
1,v3,808,0,0,15958,16345,65556,1
1,v4,391,0,0,7868,16460,16500,1
1,v5,808,0,0,15848,16293,65592,1
1,v6,98,0,0,3789,2968,4002,1
1,v7,779,0,0,32073,16508,32813,1
1,v8,810,0,0,31985,16271,32768,1
1,v9,398,0,0,8041,16430,16360,1
1,v10,94,0,0,4124,2782,3994,1
1,v11,808,0,0,31908,16389,32762,1
1,v12,392,0,0,8177,16379,16432,1
1,v13,101,0,0,4212,2916,4277,1
1,v14,102,0,0,4012,3160,4157,1
1,v15,395,0,0,8124,16375,16216,1
1,v16,390,0,0,7994,16342,16397,1
1,v17,409,0,0,7878,16345,16370,1
1,v18,102,0,0,3784,3058,3825,1
1,v19,799,0,0,15954,16274,65451,1
1,v20,799,0,0,15835,16531,65486,1
1,v21,105,0,0,4009,3054,4241,1
1,v22,808,0,0,31919,16404,32781,1
1,v23,94,0,0,4093,3233,4118,1
1,v24,112,0,0,4088,3163,4106,1
61,v0,801,0,0.31860954519069795,16008,16274,65546,1
61,v1,780,0,30,16009,16331,65631,0
61,v2,405,0,0.31860954519069795,8149,16435,16390,1
61,v3,808,0,0.31860954519069795,15958,16345,65556,1
61,v4,391,0,0.31860954519069795,7868,16460,16500,1
61,v5,808,0,0.31860954519069795,15848,16293,65592,1
61,v6,98,0,0.4340721237335235,3789,2968,4002,1
61,v7,779,0,0.4340721237335235,32073,16508,32813,1
61,v8,810,0,0.4340721237335235,31985,16271,32768,1
61,v9,398,0,0.31860954519069795,8041,16430,16360,1
61,v10,94,0,0.31860954519069795,4124,2782,3994,1
61,v11,808,0,0.4340721237335235,31908,16389,32762,1
61,v12,392,0,0.4340721237335235,8177,16379,16432,1
61,v13,101,0,0.31860954519069795,4212,2916,4277,1
61,v14,102,0,0.31860954519069795,4012,3160,4157,1
61,v15,395,0,0.31860954519069795,8124,16375,16216,1
61,v16,390,0,0.4340721237335235,7994,16342,16397,1
61,v17,409,0,0.31860954519069795,7878,16345,16370,1
61,v18,102,0,0.4340721237335235,3784,3058,3825,1
61,v19,799,0,0.4340721237335235,15954,16274,65451,1
61,v20,799,0,0.4340721237335235,15835,16531,65486,1
61,v21,105,0,0.4340721237335235,4009,3054,4241,1
61,v22,808,0,0.4340721237335235,31919,16404,32781,1
61,v23,94,0,0.31860954519069795,4093,3233,4118,1
61,v24,112,0,0.4340721237335235,4088,3163,4106,1
121,v0,801,0,0.9060716310452042,16008,16274,65546,0
121,v1,780,0,30,16009,16331,65631,0
121,v2,405,0,0.9060716310452042,8149,16435,16390,1
121,v3,808,0,0.9060716310452042,15958,16345,65556,1
121,v4,391,0,0.9060716310452042,7868,16460,16500,0
121,v5,808,0,0.9060716310452042,15848,16293,65592,1
121,v6,98,0,1.5947128421881582,3789,2968,4002,1
121,v7,779,0,1.5947128421881582,32073,16508,32813,1
121,v8,810,0,1.5947128421881582,31985,16271,32768,1
121,v9,398,0,0.9060716310452042,8041,16430,16360,0
121,v10,94,0,0.9060716310452042,4124,2782,3994,0
121,v11,808,0,1.5947128421881582,31908,16389,32762,1
121,v12,392,0,1.5947128421881582,8177,16379,16432,0
121,v13,101,0,0.9060716310452042,4212,2916,4277,0
121,v14,102,0,0.9060716310452042,4012,3160,4157,0
121,v15,395,0,0.9060716310452042,8124,16375,16216,0
121,v16,390,0,1.5947128421881582,7994,16342,16397,0
121,v17,409,0,0.9060716310452042,7878,16345,16370,1
121,v18,102,0,1.5947128421881582,3784,3058,3825,1
121,v19,799,0,1.5947128421881582,15954,16274,65451,0
121,v20,799,0,1.5947128421881582,15835,16531,65486,0
121,v21,105,0,1.5947128421881582,4009,3054,4241,1
121,v22,808,0,1.5947128421881582,31919,16404,32781,1
121,v23,94,0,0.9060716310452042,4093,3233,4118,0
121,v24,112,0,1.5947128421881582,4088,3163,4106,1
181,v0,801,0,1.3756804436432228,16008,16274,65546,1
181,v1,780,0,30,16009,16331,65631,0
181,v2,405,0,0.7391001099736848,8149,16435,16390,1
181,v3,808,0,0.7391001099736848,15958,16345,65556,1
181,v4,391,0,1.3756804436432228,7868,16460,16500,1
